=======================================================================================
                            TOP-5000 САМЫХ ЧАСТЫХ СЛОВ
                            Сортировка: По_алфавиту
=======================================================================================

Режим: Все файлы
Файл: Папка SourceTexts
Дата: Dec 10 2025 15:20:06

-----------------------------------------------------------------------------------------------------------------------
  №   Слово                 Частота     Документы
-----------------------------------------------------------------------------------------------------------------------
  1   000                         5   voyna-i-mir-tom-1.txt
  2   1                           3   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
  3   10                          5   voyna-i-mir-tom-1.txt
  4   10ти                        4   voyna-i-mir-tom-1.txt
  5   1805                        9   voyna-i-mir-tom-1.txt
  6   19                          3   voyna-i-mir-tom-1.txt
  7   1й                          3   voyna-i-mir-tom-1.txt
  8   2                           4   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
  9   20                          5   voyna-i-mir-tom-1.txt
 10   25                          3   voyna-i-mir-tom-1.txt
 11   3й                          8   voyna-i-mir-tom-1.txt
 12   3ю                          3   voyna-i-mir-tom-1.txt
 13   6го                         3   voyna-i-mir-tom-1.txt
 14   a                         142   voyna-i-mir-tom-1.txt
 15   adieu                       5   voyna-i-mir-tom-1.txt
 16   affaires                    3   voyna-i-mir-tom-1.txt
 17   ah                         21   voyna-i-mir-tom-1.txt
 18   ai                          4   voyna-i-mir-tom-1.txt
 19   aime                        5   voyna-i-mir-tom-1.txt
 20   allez                       5   voyna-i-mir-tom-1.txt
 21   allons                      5   voyna-i-mir-tom-1.txt
 22   altercation                 3   voyna-i-mir-tom-1.txt
 23   ame                         3   voyna-i-mir-tom-1.txt
 24   ami                        15   voyna-i-mir-tom-1.txt
 25   amie                       10   voyna-i-mir-tom-1.txt
 26   andre                      18   voyna-i-mir-tom-1.txt
 27   annette                    12   voyna-i-mir-tom-1.txt
 28   apraksine                   5   voyna-i-mir-tom-1.txt
 29   assez                       3   voyna-i-mir-tom-1.txt
 30   attendez                    5   voyna-i-mir-tom-1.txt
 31   au                         17   voyna-i-mir-tom-1.txt
 32   auf                         3   voyna-i-mir-tom-1.txt
 33   autres                      4   voyna-i-mir-tom-1.txt
 34   aux                         5   voyna-i-mir-tom-1.txt
 35   avant                       4   voyna-i-mir-tom-1.txt
 36   avec                       10   voyna-i-mir-tom-1.txt
 37   avez                        8   voyna-i-mir-tom-1.txt
 38   avoir                       3   voyna-i-mir-tom-1.txt
 39   ax                          4   voyna-i-mir-tom-1.txt
 40   basile                      7   voyna-i-mir-tom-1.txt
 41   beau                        8   voyna-i-mir-tom-1.txt
 42   beaux                       3   voyna-i-mir-tom-1.txt
 43   belle                       5   voyna-i-mir-tom-1.txt
 44   bien                       27   voyna-i-mir-tom-1.txt
 45   bon                        11   voyna-i-mir-tom-1.txt
 46   bonheur                     4   voyna-i-mir-tom-1.txt
 47   bonne                      11   voyna-i-mir-tom-1.txt
 48   boris                       3   voyna-i-mir-tom-1.txt
 49   bourienne                  63   voyna-i-mir-tom-1.txt
 50   brave                       3   voyna-i-mir-tom-1.txt
 51   buonaparte                  4   voyna-i-mir-tom-1.txt
 52   ca                         12   voyna-i-mir-tom-1.txt
 53   calme                       3   voyna-i-mir-tom-1.txt
 54   campagne                    3   voyna-i-mir-tom-1.txt
 55   catiche                     3   voyna-i-mir-tom-1.txt
 56   cause                       3   voyna-i-mir-tom-1.txt
 57   ce                         50   voyna-i-mir-tom-1.txt
 58   cela                       13   voyna-i-mir-tom-1.txt
 59   cependant                   3   voyna-i-mir-tom-1.txt
 60   ces                        11   voyna-i-mir-tom-1.txt
 61   cest                       52   voyna-i-mir-tom-1.txt
 62   cet                         9   voyna-i-mir-tom-1.txt
 63   cetait                      3   voyna-i-mir-tom-1.txt
 64   cette                      17   voyna-i-mir-tom-1.txt
 65   charmant                    8   voyna-i-mir-tom-1.txt
 66   charmante                   3   voyna-i-mir-tom-1.txt
 67   cher                       32   voyna-i-mir-tom-1.txt
 68   cherchons                   3   voyna-i-mir-tom-1.txt
 69   chere                      41   voyna-i-mir-tom-1.txt
 70   cheval                      3   voyna-i-mir-tom-1.txt
 71   chez                       12   voyna-i-mir-tom-1.txt
 72   chose                       9   voyna-i-mir-tom-1.txt
 73   choses                      3   voyna-i-mir-tom-1.txt
 74   coeur                       8   voyna-i-mir-tom-1.txt
 75   comme                      35   voyna-i-mir-tom-1.txt
 76   comment                     8   voyna-i-mir-tom-1.txt
 77   comprends                   4   voyna-i-mir-tom-1.txt
 78   comte                       9   voyna-i-mir-tom-1.txt
 79   comtesse                    8   voyna-i-mir-tom-1.txt
 80   connais                     4   voyna-i-mir-tom-1.txt
 81   courage                     3   voyna-i-mir-tom-1.txt
 82   cousin                      8   voyna-i-mir-tom-1.txt
 83   crois                       3   voyna-i-mir-tom-1.txt
 84   dans                       30   voyna-i-mir-tom-1.txt
 85   de                        213   voyna-i-mir-tom-1.txt
 86   decide                      3   voyna-i-mir-tom-1.txt
 87   deja                        6   voyna-i-mir-tom-1.txt
 88   dem                         5   voyna-i-mir-tom-1.txt
 89   den                         5   voyna-i-mir-tom-1.txt
 90   depuis                      4   voyna-i-mir-tom-1.txt
 91   der                         5   voyna-i-mir-tom-1.txt
 92   des                        48   voyna-i-mir-tom-1.txt
 93   detre                       4   voyna-i-mir-tom-1.txt
 94   deux                        5   voyna-i-mir-tom-1.txt
 95   devenir                     4   voyna-i-mir-tom-1.txt
 96   devoirs                     3   voyna-i-mir-tom-1.txt
 97   die                        14   voyna-i-mir-tom-1.txt
 98   dieu                       16   voyna-i-mir-tom-1.txt
 99   dirai                       3   voyna-i-mir-tom-1.txt
100   dire                        6   voyna-i-mir-tom-1.txt
101   dit                        11   voyna-i-mir-tom-1.txt
102   dites                       8   voyna-i-mir-tom-1.txt
103   divin                       5   voyna-i-mir-tom-1.txt
104   donau                       3   voyna-i-mir-tom-1.txt
105   donc                        5   voyna-i-mir-tom-1.txt
106   donne                       3   voyna-i-mir-tom-1.txt
107   donner                      3   voyna-i-mir-tom-1.txt
108   dont                        4   voyna-i-mir-tom-1.txt
109   droit                       6   voyna-i-mir-tom-1.txt
110   du                         39   voyna-i-mir-tom-1.txt
111   dun                         3   voyna-i-mir-tom-1.txt
112   dune                        7   voyna-i-mir-tom-1.txt
113   eh                          5   voyna-i-mir-tom-1.txt
114   eleve                       3   voyna-i-mir-tom-1.txt
115   elle                        5   voyna-i-mir-tom-1.txt
116   en                         26   voyna-i-mir-tom-1.txt
117   encore                      8   voyna-i-mir-tom-1.txt
118   enfant                      5   voyna-i-mir-tom-1.txt
119   enfin                       3   voyna-i-mir-tom-1.txt
120   entendre                    3   voyna-i-mir-tom-1.txt
121   entre                       4   voyna-i-mir-tom-1.txt
122   er                          3   voyna-i-mir-tom-1.txt
123   est                        43   voyna-i-mir-tom-1.txt
124   et                        125   voyna-i-mir-tom-1.txt
125   ete                        19   voyna-i-mir-tom-1.txt
126   etes                       11   voyna-i-mir-tom-1.txt
127   etre                        3   voyna-i-mir-tom-1.txt
128   eu                          5   voyna-i-mir-tom-1.txt
129   excellent                   3   voyna-i-mir-tom-1.txt
130   excellente                  3   voyna-i-mir-tom-1.txt
131   existence                   3   voyna-i-mir-tom-1.txt
132   exprimer                    3   voyna-i-mir-tom-1.txt
133   faible                      3   voyna-i-mir-tom-1.txt
134   faire                      14   voyna-i-mir-tom-1.txt
135   fait                       15   voyna-i-mir-tom-1.txt
136   faites                      4   voyna-i-mir-tom-1.txt
137   famille                     3   voyna-i-mir-tom-1.txt
138   faut                       14   voyna-i-mir-tom-1.txt
139   feind                       4   voyna-i-mir-tom-1.txt
140   femme                       9   voyna-i-mir-tom-1.txt
141   femmes                      8   voyna-i-mir-tom-1.txt
142   fera                        3   voyna-i-mir-tom-1.txt
143   fille                       4   voyna-i-mir-tom-1.txt
144   fils                        7   voyna-i-mir-tom-1.txt
145   fluegel                     4   voyna-i-mir-tom-1.txt
146   foi                         3   voyna-i-mir-tom-1.txt
147   fois                        3   voyna-i-mir-tom-1.txt
148   font                        5   voyna-i-mir-tom-1.txt
149   fortune                     3   voyna-i-mir-tom-1.txt
150   garde                       3   voyna-i-mir-tom-1.txt
151   general                     5   voyna-i-mir-tom-1.txt
152   genlis                      3   voyna-i-mir-tom-1.txt
153   gens                        4   voyna-i-mir-tom-1.txt
154   grace                       4   voyna-i-mir-tom-1.txt
155   grand                       7   voyna-i-mir-tom-1.txt
156   grande                      4   voyna-i-mir-tom-1.txt
157   guerre                     13   voyna-i-mir-tom-1.txt
158   helene                      3   voyna-i-mir-tom-1.txt
159   heros                       3   voyna-i-mir-tom-1.txt
160   heureuse                    3   voyna-i-mir-tom-1.txt
161   histoire                    4   voyna-i-mir-tom-1.txt
162   hoch                        4   voyna-i-mir-tom-1.txt
163   homme                      18   voyna-i-mir-tom-1.txt
164   hommes                      4   voyna-i-mir-tom-1.txt
165   i                           3   voyna-i-mir-tom-1.txt
166   ii                         12   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
167   iii                         4   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
168   il                         43   voyna-i-mir-tom-1.txt
169   ils                         9   voyna-i-mir-tom-1.txt
170   interets                    3   voyna-i-mir-tom-1.txt
171   ist                         3   voyna-i-mir-tom-1.txt
172   iv                          4   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
173   ix                          3   voyna-i-mir-tom-1.txt
174   jai                        16   voyna-i-mir-tom-1.txt
175   jamais                     12   voyna-i-mir-tom-1.txt
176   je                        113   voyna-i-mir-tom-1.txt
177   jespere                     3   voyna-i-mir-tom-1.txt
178   jeune                      16   voyna-i-mir-tom-1.txt
179   jour                        4   voyna-i-mir-tom-1.txt
180   kolonne                     3   voyna-i-mir-tom-1.txt
181   l                           3   voyna-i-mir-tom-1.txt
182   la                        115   voyna-i-mir-tom-1.txt
183   labsence                    3   voyna-i-mir-tom-1.txt
184   laisse                      3   voyna-i-mir-tom-1.txt
185   laissez                     3   voyna-i-mir-tom-1.txt
186   laissezmoi                  3   voyna-i-mir-tom-1.txt
187   lamour                      5   voyna-i-mir-tom-1.txt
188   laquelle                    3   voyna-i-mir-tom-1.txt
189   larmee                      5   voyna-i-mir-tom-1.txt
190   lautre                      3   voyna-i-mir-tom-1.txt
191   le                        110   voyna-i-mir-tom-1.txt
192   lempereur                   9   voyna-i-mir-tom-1.txt
193   les                        74   voyna-i-mir-tom-1.txt
194   lettre                      5   voyna-i-mir-tom-1.txt
195   leur                        6   voyna-i-mir-tom-1.txt
196   lise                       11   voyna-i-mir-tom-1.txt
197   livre                       3   voyna-i-mir-tom-1.txt
198   lui                         9   voyna-i-mir-tom-1.txt
199   lune                        3   voyna-i-mir-tom-1.txt
200   m                           6   voyna-i-mir-tom-1.txt
201   ma                         60   voyna-i-mir-tom-1.txt
202   madame                     10   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
203   mais                       37   voyna-i-mir-tom-1.txt
204   mal                         5   voyna-i-mir-tom-1.txt
205   malgre                      4   voyna-i-mir-tom-1.txt
206   maman                       7   voyna-i-mir-tom-1.txt
207   marie                       4   voyna-i-mir-tom-1.txt
208   marieche                    3   voyna-i-mir-tom-1.txt
209   marieiage                   4   voyna-i-mir-tom-1.txt
210   marieie                     9   voyna-i-mir-tom-1.txt
211   marieschirt                 3   voyna-i-mir-tom-1.txt
212   mauvais                     3   voyna-i-mir-tom-1.txt
213   me                         33   voyna-i-mir-tom-1.txt
214   meme                        3   voyna-i-mir-tom-1.txt
215   mere                        8   voyna-i-mir-tom-1.txt
216   mes                         9   voyna-i-mir-tom-1.txt
217   mit                         5   voyna-i-mir-tom-1.txt
218   mlle                       62   voyna-i-mir-tom-1.txt
219   moi                        18   voyna-i-mir-tom-1.txt
220   moins                       5   voyna-i-mir-tom-1.txt
221   mon                       104   voyna-i-mir-tom-1.txt
222   monde                       5   voyna-i-mir-tom-1.txt
223   monsieur                   10   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
224   mort                        3   voyna-i-mir-tom-1.txt
225   moscou                      5   voyna-i-mir-tom-1.txt
226   mot                         6   voyna-i-mir-tom-1.txt
227   na                          4   voyna-i-mir-tom-1.txt
228   nai                         4   voyna-i-mir-tom-1.txt
229   ne                         72   voyna-i-mir-tom-1.txt
230   nen                         4   voyna-i-mir-tom-1.txt
231   nest                       11   voyna-i-mir-tom-1.txt
232   ni                          7   voyna-i-mir-tom-1.txt
233   nicolas                     5   voyna-i-mir-tom-1.txt
234   nom                         3   voyna-i-mir-tom-1.txt
235   non                        20   voyna-i-mir-tom-1.txt
236   nos                         4   voyna-i-mir-tom-1.txt
237   notre                      14   voyna-i-mir-tom-1.txt
238   nous                       39   voyna-i-mir-tom-1.txt
239   nouvelle                    4   voyna-i-mir-tom-1.txt
240   ny                          3   voyna-i-mir-tom-1.txt
241   oh                          3   voyna-i-mir-tom-1.txt
242   on                         21   voyna-i-mir-tom-1.txt
243   ont                         5   voyna-i-mir-tom-1.txt
244   par                        13   voyna-i-mir-tom-1.txt
245   parait                      3   voyna-i-mir-tom-1.txt
246   parle                       7   voyna-i-mir-tom-1.txt
247   parlez                      3   voyna-i-mir-tom-1.txt
248   parole                      4   voyna-i-mir-tom-1.txt
249   pas                        64   voyna-i-mir-tom-1.txt
250   pauvre                     19   voyna-i-mir-tom-1.txt
251   pere                       22   voyna-i-mir-tom-1.txt
252   personne                    4   voyna-i-mir-tom-1.txt
253   petersbourg                 5   voyna-i-mir-tom-1.txt
254   petit                       9   voyna-i-mir-tom-1.txt
255   petite                      8   voyna-i-mir-tom-1.txt
256   peu                         4   voyna-i-mir-tom-1.txt
257   peur                        5   voyna-i-mir-tom-1.txt
258   peutetre                    6   voyna-i-mir-tom-1.txt
259   pierre                      8   voyna-i-mir-tom-1.txt
260   plus                       36   voyna-i-mir-tom-1.txt
261   poetique                    3   voyna-i-mir-tom-1.txt
262   point                       3   voyna-i-mir-tom-1.txt
263   pont                        8   voyna-i-mir-tom-1.txt
264   pour                       55   voyna-i-mir-tom-1.txt
265   pourquoi                    7   voyna-i-mir-tom-1.txt
266   prendre                     4   voyna-i-mir-tom-1.txt
267   prince                     27   voyna-i-mir-tom-1.txt
268   princesse                  13   voyna-i-mir-tom-1.txt
269   propos                      3   voyna-i-mir-tom-1.txt
270   pu                          6   voyna-i-mir-tom-1.txt
271   puis                        7   voyna-i-mir-tom-1.txt
272   quand                       7   voyna-i-mir-tom-1.txt
273   que                       132   voyna-i-mir-tom-1.txt
274   quelle                      9   voyna-i-mir-tom-1.txt
275   quelque                     5   voyna-i-mir-tom-1.txt
276   qui                        43   voyna-i-mir-tom-1.txt
277   quil                       15   voyna-i-mir-tom-1.txt
278   quils                       3   voyna-i-mir-tom-1.txt
279   quitte                      3   voyna-i-mir-tom-1.txt
280   quon                        9   voyna-i-mir-tom-1.txt
281   recu                        4   voyna-i-mir-tom-1.txt
282   regard                      3   voyna-i-mir-tom-1.txt
283   reviendra                   3   voyna-i-mir-tom-1.txt
284   revoir                      3   voyna-i-mir-tom-1.txt
285   ridicule                    4   voyna-i-mir-tom-1.txt
286   rien                        8   voyna-i-mir-tom-1.txt
287   russe                       4   voyna-i-mir-tom-1.txt
288   russes                      3   voyna-i-mir-tom-1.txt
289   russie                      6   voyna-i-mir-tom-1.txt
290   sa                         10   voyna-i-mir-tom-1.txt
291   sais                        5   voyna-i-mir-tom-1.txt
292   sait                        6   voyna-i-mir-tom-1.txt
293   salon                       3   voyna-i-mir-tom-1.txt
294   sans                        8   voyna-i-mir-tom-1.txt
295   sauveur                     4   voyna-i-mir-tom-1.txt
296   savez                       7   voyna-i-mir-tom-1.txt
297   savoir                      3   voyna-i-mir-tom-1.txt
298   schon                       4   voyna-i-mir-tom-1.txt
299   se                         18   voyna-i-mir-tom-1.txt
300   sen                         3   voyna-i-mir-tom-1.txt
301   sentiments                  3   voyna-i-mir-tom-1.txt
302   sera                        4   voyna-i-mir-tom-1.txt
303   serait                      3   voyna-i-mir-tom-1.txt
304   ses                         3   voyna-i-mir-tom-1.txt
305   seule                       3   voyna-i-mir-tom-1.txt
306   seulement                   3   voyna-i-mir-tom-1.txt
307   si                         35   voyna-i-mir-tom-1.txt
308   sire                        7   voyna-i-mir-tom-1.txt
309   soiree                      3   voyna-i-mir-tom-1.txt
310   soit                        3   voyna-i-mir-tom-1.txt
311   sommes                      4   voyna-i-mir-tom-1.txt
312   son                        22   voyna-i-mir-tom-1.txt
313   sont                       13   voyna-i-mir-tom-1.txt
314   sort                        3   voyna-i-mir-tom-1.txt
315   sous                        3   voyna-i-mir-tom-1.txt
316   souverains                  4   voyna-i-mir-tom-1.txt
317   soyez                       6   voyna-i-mir-tom-1.txt
318   suis                       13   voyna-i-mir-tom-1.txt
319   suite                       3   voyna-i-mir-tom-1.txt
320   sur                        11   voyna-i-mir-tom-1.txt
321   tant                        6   voyna-i-mir-tom-1.txt
322   tante                       7   voyna-i-mir-tom-1.txt
323   tellement                   3   voyna-i-mir-tom-1.txt
324   temps                       3   voyna-i-mir-tom-1.txt
325   terrible                    7   voyna-i-mir-tom-1.txt
326   tete                        9   voyna-i-mir-tom-1.txt
327   toujours                    6   voyna-i-mir-tom-1.txt
328   tour                        4   voyna-i-mir-tom-1.txt
329   tous                        7   voyna-i-mir-tom-1.txt
330   tout                       36   voyna-i-mir-tom-1.txt
331   toute                       4   voyna-i-mir-tom-1.txt
332   toutes                      6   voyna-i-mir-tom-1.txt
333   trahison                    3   voyna-i-mir-tom-1.txt
334   tres                       24   voyna-i-mir-tom-1.txt
335   trop                        4   voyna-i-mir-tom-1.txt
336   un                         57   voyna-i-mir-tom-1.txt
337   und                        11   voyna-i-mir-tom-1.txt
338   une                        34   voyna-i-mir-tom-1.txt
339   uns                         3   voyna-i-mir-tom-1.txt
340   v                           5   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
341   va                          8   voyna-i-mir-tom-1.txt
342   venez                       3   voyna-i-mir-tom-1.txt
343   vi                          4   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
344   vicomte                     8   voyna-i-mir-tom-1.txt
345   vienne                      3   voyna-i-mir-tom-1.txt
346   vieux                       3   voyna-i-mir-tom-1.txt
347   vii                         4   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
348   viii                        4   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
349   voila                       9   voyna-i-mir-tom-1.txt
350   voir                       10   voyna-i-mir-tom-1.txt
351   von                         3   voyna-i-mir-tom-1.txt
352   vos                         4   voyna-i-mir-tom-1.txt
353   votre                      28   voyna-i-mir-tom-1.txt
354   vous                      166   voyna-i-mir-tom-1.txt
355   voyons                      6   voyna-i-mir-tom-1.txt
356   wenn                        4   voyna-i-mir-tom-1.txt
357   wir                         9   voyna-i-mir-tom-1.txt
358   x                           3   voyna-i-mir-tom-1.txt
359   xa                          3   voyna-i-mir-tom-1.txt
360   xi                          3   voyna-i-mir-tom-1.txt
361   xii                         3   voyna-i-mir-tom-1.txt
362   xiii                        3   voyna-i-mir-tom-1.txt
363   xiv                         3   voyna-i-mir-tom-1.txt
364   xix                         3   voyna-i-mir-tom-1.txt
365   xv                          5   voyna-i-mir-tom-1.txt
366   xvi                         3   voyna-i-mir-tom-1.txt
367   xvii                        5   voyna-i-mir-tom-1.txt
368   xviii                       3   voyna-i-mir-tom-1.txt
369   y                          14   voyna-i-mir-tom-1.txt
370   yeux                        3   voyna-i-mir-tom-1.txt
371   zu                          4   voyna-i-mir-tom-1.txt
372   а                         461   voyna-i-mir-tom-1.txt
373   аббат                       7   voyna-i-mir-tom-1.txt
374   аббата                      6   voyna-i-mir-tom-1.txt
375   аванпостах                  3   voyna-i-mir-tom-1.txt
376   австрии                     8   voyna-i-mir-tom-1.txt
377   австрийские                 9   voyna-i-mir-tom-1.txt
378   австрийский                15   voyna-i-mir-tom-1.txt
379   австрийским                 4   voyna-i-mir-tom-1.txt
380   австрийского                7   voyna-i-mir-tom-1.txt
381   австрийской                 4   voyna-i-mir-tom-1.txt
382   австрийскому               10   voyna-i-mir-tom-1.txt
383   австрийцев                  7   voyna-i-mir-tom-1.txt
384   австрия                     4   voyna-i-mir-tom-1.txt
385   адъютант                   31   voyna-i-mir-tom-1.txt
386   адъютанта                  22   voyna-i-mir-tom-1.txt
387   адъютантами                 5   voyna-i-mir-tom-1.txt
388   адъютантов                 12   voyna-i-mir-tom-1.txt
389   адъютантом                  3   voyna-i-mir-tom-1.txt
390   адъютанту                   7   voyna-i-mir-tom-1.txt
391   адъютанты                  12   voyna-i-mir-tom-1.txt
392   акцентом                    3   voyna-i-mir-tom-1.txt
393   александр                   6   voyna-i-mir-tom-1.txt
394   александра                 11   voyna-i-mir-tom-1.txt
395   алпатыч                     4   voyna-i-mir-tom-1.txt
396   анатолем                    4   voyna-i-mir-tom-1.txt
397   анатоль                    45   voyna-i-mir-tom-1.txt
398   анатолю                     4   voyna-i-mir-tom-1.txt
399   анатоля                    25   voyna-i-mir-tom-1.txt
400   англии                      3   voyna-i-mir-tom-1.txt
401   англичанин                  9   voyna-i-mir-tom-1.txt
402   англичанину                 3   voyna-i-mir-tom-1.txt
403   андреевич                   8   voyna-i-mir-tom-1.txt
404   андреевичу                  3   voyna-i-mir-tom-1.txt
405   андреем                     4   voyna-i-mir-tom-1.txt
406   андреич                     8   voyna-i-mir-tom-1.txt
407   андреича                    3   voyna-i-mir-tom-1.txt
408   андрей                    294   voyna-i-mir-tom-1.txt
409   андрею                     29   voyna-i-mir-tom-1.txt
410   андрея                     52   voyna-i-mir-tom-1.txt
411   андрюша                     4   voyna-i-mir-tom-1.txt
412   анекдот                     5   voyna-i-mir-tom-1.txt
413   анекдоты                    4   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
414   анна                      152   voyna-i-mir-tom-1.txt
415   анне                       13   voyna-i-mir-tom-1.txt
416   анной                       9   voyna-i-mir-tom-1.txt
417   анною                       5   voyna-i-mir-tom-1.txt
418   анну                       13   voyna-i-mir-tom-1.txt
419   анны                       34   voyna-i-mir-tom-1.txt
420   апраксина                   4   voyna-i-mir-tom-1.txt
421   армией                     10   voyna-i-mir-tom-1.txt
422   армии                      47   voyna-i-mir-tom-1.txt
423   армию                      27   voyna-i-mir-tom-1.txt
424   армия                      24   voyna-i-mir-tom-1.txt
425   арнауты                     3   voyna-i-mir-tom-1.txt
426   артиллерии                  3   voyna-i-mir-tom-1.txt
427   артиллерист                 3   voyna-i-mir-tom-1.txt
428   артиллериста                4   voyna-i-mir-tom-1.txt
429   артиллеристов               4   voyna-i-mir-tom-1.txt
430   артиллеристы                6   voyna-i-mir-tom-1.txt
431   артиллерию                  3   voyna-i-mir-tom-1.txt
432   артиллерия                  5   voyna-i-mir-tom-1.txt
433   архитектор                  4   voyna-i-mir-tom-1.txt
434   атака                      11   voyna-i-mir-tom-1.txt
435   атаке                       3   voyna-i-mir-tom-1.txt
