=======================================================================================
                            TOP-5000 САМЫХ ЧАСТЫХ СЛОВ
                            Сортировка: По_частоте
=======================================================================================

Режим: Все файлы
Файл: Папка SourceTexts
Дата: Dec 10 2025 15:20:06

-----------------------------------------------------------------------------------------------------------------------
  №   Слово                 Частота     Документы
-----------------------------------------------------------------------------------------------------------------------
  1   и                        4956   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt, Пушкин_Пророк.txt
  2   в                        2362   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt, Пушкин_Пророк.txt
  3   не                       1984   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
  4   он                       1822   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt, Пушкин_Пророк.txt
  5   что                      1647   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
  6   на                       1612   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt, Пушкин_Пророк.txt
  7   с                        1381   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
  8   как                      1078   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt, Пушкин_Пророк.txt
  9   к                         872   voyna-i-mir-tom-1.txt, Пушкин_Пророк.txt
 10   я                         863   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt, Пушкин_Пророк.txt
 11   его                       853   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
 12   князь                     625   voyna-i-mir-tom-1.txt
 13   но                        605   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
 14   это                       578   voyna-i-mir-tom-1.txt
 15   она                       570   voyna-i-mir-tom-1.txt
 16   сказал                    568   voyna-i-mir-tom-1.txt
 17   было                      499   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
 18   так                       481   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
 19   а                         461   voyna-i-mir-tom-1.txt
 20   то                        456   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
 21   за                        454   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
 22   всё                       399   voyna-i-mir-tom-1.txt
 23   по                        394   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
 24   ему                       393   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
 25   от                        386   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
 26   вы                        375   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
 27   был                       372   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
 28   же                        369   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
 29   ее                        359   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
 30   из                        336   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
 31   у                         326   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt, Пушкин_Пророк.txt
 32   бы                        323   voyna-i-mir-tom-1.txt
 33   о                         316   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
 34   только                    298   voyna-i-mir-tom-1.txt
 35   андрей                    294   voyna-i-mir-tom-1.txt
 36   еще                       291   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
 37   мне                       236   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt, Пушкин_Пророк.txt
 38   все                       231   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
 39   ростов                    228   voyna-i-mir-tom-1.txt
 40   ты                        227   voyna-i-mir-tom-1.txt
 41   для                       220   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
